Price min value,Price for each machine,Time
471/250,"[23/200, 283/1000, 23/200, 23/200, 23/200, 23/200, 23/200, 283/1000, 283/1000, 23/200, 23/200, 23/200]",21.42859387397766
471/250,"[23/200, 23/200, 23/200, 23/200, 23/200, 23/200, 23/200, 283/1000, 23/200, 283/1000, 283/1000, 23/200]",69.13519382476807
471/250,"[23/200, 23/200, 283/1000, 23/200, 23/200, 23/200, 283/1000, 23/200, 23/200, 23/200, 23/200, 283/1000]",10.577815055847168
471/250,"[283/1000, 23/200, 23/200, 23/200, 23/200, 23/200, 283/1000, 23/200, 283/1000, 23/200, 23/200, 23/200]",55.64340305328369
471/250,"[23/200, 23/200, 23/200, 23/200, 283/1000, 23/200, 23/200, 283/1000, 283/1000, 23/200, 23/200, 23/200]",47.0313720703125
