Price min value,Price for each machine,Time
2649/200,"[73/500, 73/500, 73/500, 379/1000, 351/125, 351/125, 351/125, 73/500, 379/1000, 73/500, 73/500, 351/125, 379/1000]",6.6416308879852295
2649/200,"[73/500, 351/125, 379/1000, 73/500, 73/500, 73/500, 379/1000, 379/1000, 351/125, 73/500, 351/125, 73/500, 351/125]",8.781919002532959
2649/200,"[351/125, 73/500, 351/125, 73/500, 379/1000, 73/500, 379/1000, 73/500, 73/500, 351/125, 379/1000, 351/125, 73/500]",8.048811912536621
2649/200,"[73/500, 379/1000, 73/500, 379/1000, 73/500, 379/1000, 351/125, 73/500, 351/125, 351/125, 351/125, 73/500, 73/500]",7.200723171234131
2649/200,"[73/500, 379/1000, 73/500, 351/125, 73/500, 73/500, 73/500, 379/1000, 379/1000, 351/125, 73/500, 351/125, 351/125]",14.108321189880371
