Price min value,Price for each machine,Time
7191/1000,"[379/1000, 146/1000, 2808/1000, 379/1000, 146/1000, 2808/1000, 379/1000, 146/1000]",1.350139856338501
7191/1000,"[2808/1000, 146/1000, 379/1000, 2808/1000, 379/1000, 146/1000, 146/1000, 379/1000]",1.5406017303466797
7191/1000,"[146/1000, 379/1000, 379/1000, 2808/1000, 146/1000, 379/1000, 2808/1000, 146/1000]",1.3513209819793701
7191/1000,"[2808/1000, 146/1000, 2808/1000, 379/1000, 379/1000, 146/1000, 379/1000, 146/1000]",1.3257322311401367
7191/1000,"[146/1000, 146/1000, 379/1000, 2808/1000, 379/1000, 2808/1000, 146/1000, 379/1000]",1.3756160736083984
