Price min value,Price for each machine,Time
12832/1000,"[0/1000, 2808/1000, 1600/1000, 2808/1000, 2808/1000, 2808/1000]",1.4771270751953125
12832/1000,"[0/1000, 2808/1000, 1600/1000, 2808/1000, 2808/1000, 2808/1000]",1.4564838409423828
12832/1000,"[0/1000, 2808/1000, 2808/1000, 1600/1000, 2808/1000, 2808/1000]",1.3052921295166016
12832/1000,"[0/1000, 2808/1000, 2808/1000, 2808/1000, 2808/1000, 1600/1000]",1.5018818378448486
12832/1000,"[0/1000, 2808/1000, 2808/1000, 1600/1000, 2808/1000, 2808/1000]",1.3012983798980713
