Price min value,Price for each machine,Time
33664/1000,"[0/1000, 1600/1000, 2808/1000, 1600/1000, 0/1000, 1600/1000, 2808/1000, 1600/1000, 1600/1000, 1600/1000, 1600/1000, 2808/1000, 2808/1000, 2808/1000, 2808/1000, 2808/1000, 2808/1000]",294.97705912590027
33664/1000,"[0/1000, 1600/1000, 2808/1000, 1600/1000, 0/1000, 1600/1000, 2808/1000, 1600/1000, 1600/1000, 1600/1000, 1600/1000, 2808/1000, 2808/1000, 2808/1000, 2808/1000, 2808/1000, 2808/1000]",292.2993359565735
33664/1000,"[2808/1000, 2808/1000, 2808/1000, 1600/1000, 2808/1000, 1600/1000, 2808/1000, 1600/1000, 1600/1000, 1600/1000, 0/1000, 0/1000, 2808/1000, 2808/1000, 1600/1000, 1600/1000, 2808/1000]",233.41757702827454
33664/1000,"[0/1000, 1600/1000, 2808/1000, 1600/1000, 0/1000, 1600/1000, 2808/1000, 1600/1000, 1600/1000, 1600/1000, 1600/1000, 2808/1000, 2808/1000, 2808/1000, 2808/1000, 2808/1000, 2808/1000]",269.80948400497437
33664/1000,"[2808/1000, 2808/1000, 2808/1000, 1600/1000, 2808/1000, 1600/1000, 2808/1000, 1600/1000, 1600/1000, 1600/1000, 0/1000, 0/1000, 2808/1000, 2808/1000, 1600/1000, 1600/1000, 2808/1000]",231.94484519958496
