Price min value,Price for each machine,Time
6864/125,"[0, 1144/125, 1144/125, 1144/125, 1144/125, 0, 0, 0, 0, 1144/125, 1144/125]",28.287736177444458
6864/125,"[0, 0, 1144/125, 1144/125, 1144/125, 0, 1144/125, 1144/125, 0, 1144/125, 0]",24.652015924453735
6864/125,"[1144/125, 1144/125, 0, 1144/125, 0, 1144/125, 0, 1144/125, 1144/125, 0, 0]",30.56336998939514
6864/125,"[0, 1144/125, 0, 0, 1144/125, 1144/125, 1144/125, 0, 1144/125, 0, 1144/125]",32.88800001144409
6864/125,"[1144/125, 1144/125, 1144/125, 0, 0, 1144/125, 0, 0, 1144/125, 0, 1144/125]",31.284329175949097
