Price min value,Price for each machine,Time
827/500,"[283/1000, 283/1000, 23/200, 23/200, 23/200, 23/200, 23/200, 23/200, 283/1000, 23/200]",77.8971619606018
827/500,"[23/200, 23/200, 283/1000, 23/200, 23/200, 283/1000, 23/200, 23/200, 23/200, 283/1000]",261.03009581565857
827/500,"[23/200, 23/200, 23/200, 23/200, 23/200, 283/1000, 283/1000, 23/200, 23/200, 283/1000]",187.5657160282135
827/500,"[283/1000, 283/1000, 23/200, 23/200, 23/200, 23/200, 23/200, 283/1000, 23/200, 23/200]",816.4028742313385
827/500,"[23/200, 283/1000, 23/200, 23/200, 23/200, 283/1000, 23/200, 283/1000, 23/200, 23/200]",252.32005786895752
