Price min value,Price for each machine,Time
1604/125,"[351/125, 8/5, 351/125, 351/125, 351/125, 0]",0.07405900955200195
1604/125,"[351/125, 351/125, 351/125, 351/125, 8/5, 0]",0.09421992301940918
1604/125,"[351/125, 351/125, 351/125, 8/5, 351/125, 0]",0.09145498275756836
1604/125,"[351/125, 351/125, 351/125, 351/125, 8/5, 0]",0.10194897651672363
1604/125,"[8/5, 351/125, 351/125, 351/125, 351/125, 0]",0.0815279483795166
1604/125,"[351/125, 8/5, 351/125, 351/125, 351/125, 0]",0.15648412704467773
