Price min value,Price for each machine,Time
471/250,"[283/1000, 23/200, 283/1000, 23/200, 23/200, 23/200, 23/200, 23/200, 283/1000, 23/200, 23/200, 23/200]",31.513031244277954
471/250,"[23/200, 23/200, 23/200, 23/200, 23/200, 283/1000, 283/1000, 283/1000, 23/200, 23/200, 23/200, 23/200]",36.42308211326599
471/250,"[283/1000, 23/200, 283/1000, 23/200, 23/200, 23/200, 23/200, 23/200, 23/200, 23/200, 283/1000, 23/200]",43.369708776474
471/250,"[23/200, 23/200, 283/1000, 23/200, 23/200, 23/200, 23/200, 23/200, 23/200, 283/1000, 283/1000, 23/200]",49.72271108627319
471/250,"[23/200, 283/1000, 23/200, 23/200, 23/200, 23/200, 23/200, 23/200, 283/1000, 23/200, 283/1000, 23/200]",81.41334414482117
