Price min value,Price for each machine,Time
827/500,"[283/1000, 23/200, 283/1000, 23/200, 23/200, 23/200, 23/200, 283/1000, 23/200, 23/200]",931.655905008316
827/500,"[23/200, 283/1000, 283/1000, 23/200, 23/200, 23/200, 23/200, 283/1000, 23/200, 23/200]",1436.7623891830444
827/500,"[23/200, 23/200, 23/200, 283/1000, 283/1000, 23/200, 23/200, 23/200, 283/1000, 23/200]",883.0347881317139
827/500,"[23/200, 23/200, 23/200, 23/200, 283/1000, 283/1000, 23/200, 283/1000, 23/200, 23/200]",894.6366579532623
827/500,"[23/200, 23/200, 283/1000, 23/200, 23/200, 23/200, 23/200, 283/1000, 283/1000, 23/200]",730.9856200218201
