Price min value,Price for each machine,Time
178/125,"[283/1000, 23/200, 23/200, 283/1000, 23/200, 23/200, 23/200, 283/1000]",1.9129552841186523
178/125,"[23/200, 283/1000, 23/200, 23/200, 283/1000, 23/200, 283/1000, 23/200]",1.6372296810150146
178/125,"[283/1000, 23/200, 23/200, 283/1000, 23/200, 23/200, 283/1000, 23/200]",1.8161311149597168
178/125,"[23/200, 23/200, 23/200, 283/1000, 23/200, 283/1000, 283/1000, 23/200]",1.6591339111328125
178/125,"[23/200, 23/200, 23/200, 23/200, 283/1000, 283/1000, 283/1000, 23/200]",1.9056611061096191
