Price min value,Price for each machine,Time
1654/1000,"[115/1000, 115/1000, 115/1000, 283/1000, 115/1000, 283/1000, 283/1000, 115/1000, 115/1000, 115/1000]",22.75901699066162
1654/1000,"[115/1000, 115/1000, 115/1000, 115/1000, 283/1000, 283/1000, 115/1000, 115/1000, 115/1000, 283/1000]",25.814885139465332
1654/1000,"[283/1000, 115/1000, 115/1000, 115/1000, 115/1000, 283/1000, 115/1000, 115/1000, 283/1000, 115/1000]",11.682708978652954
1654/1000,"[115/1000, 283/1000, 283/1000, 115/1000, 283/1000, 115/1000, 115/1000, 115/1000, 115/1000, 115/1000]",29.17545986175537
1654/1000,"[283/1000, 115/1000, 115/1000, 115/1000, 115/1000, 283/1000, 283/1000, 115/1000, 115/1000, 115/1000]",3.7528140544891357
