Price min value,Price for each machine,Time
7191/1000,"[2808/1000, 146/1000, 379/1000, 379/1000, 146/1000, 146/1000, 379/1000, 2808/1000]",1.1595678329467773
7191/1000,"[379/1000, 146/1000, 379/1000, 146/1000, 379/1000, 2808/1000, 2808/1000, 146/1000]",1.0147168636322021
7191/1000,"[379/1000, 2808/1000, 379/1000, 146/1000, 2808/1000, 379/1000, 146/1000, 146/1000]",1.189711093902588
7191/1000,"[146/1000, 146/1000, 379/1000, 379/1000, 379/1000, 2808/1000, 2808/1000, 146/1000]",1.1187598705291748
7191/1000,"[146/1000, 2808/1000, 146/1000, 379/1000, 379/1000, 379/1000, 2808/1000, 146/1000]",1.1441779136657715
