Price min value,Price for each machine,Time
14432/1000,"[0, 0, 1600, 2808, 2808, 1600, 2808, 2808]",2.713174819946289
14432/1000,"[0, 0, 1600, 2808, 2808, 1600, 2808, 2808]",2.4425361156463623
14432/1000,"[0, 0, 1600, 2808, 2808, 1600, 2808, 2808]",2.4724700450897217
14432/1000,"[0, 0, 1600, 2808, 2808, 1600, 2808, 2808]",2.5642518997192383
14432/1000,"[0, 0, 1600, 2808, 2808, 1600, 2808, 2808]",2.3646910190582275
