Price min value,Price for each machine,Time
19299/1000,"[2808/1000, 379/1000, 379/1000, 2808/1000, 146/1000, 2808/1000, 146/1000, 2808/1000, 146/1000, 379/1000, 146/1000, 146/1000, 146/1000, 146/1000, 146/1000, 2808/1000, 146/1000, 2808/1000]",32.4314079284668
19299/1000,"[146/1000, 2808/1000, 146/1000, 146/1000, 146/1000, 146/1000, 146/1000, 379/1000, 146/1000, 379/1000, 146/1000, 2808/1000, 2808/1000, 2808/1000, 146/1000, 2808/1000, 2808/1000, 379/1000]",36.85303592681885
19299/1000,"[146/1000, 2808/1000, 146/1000, 146/1000, 2808/1000, 379/1000, 2808/1000, 379/1000, 146/1000, 379/1000, 2808/1000, 146/1000, 146/1000, 146/1000, 2808/1000, 146/1000, 146/1000, 2808/1000]",46.376007080078125
19299/1000,"[2808/1000, 379/1000, 2808/1000, 2808/1000, 379/1000, 146/1000, 379/1000, 146/1000, 146/1000, 146/1000, 146/1000, 146/1000, 2808/1000, 2808/1000, 146/1000, 146/1000, 2808/1000, 146/1000]",60.27294397354126
19299/1000,"[146/1000, 146/1000, 2808/1000, 146/1000, 146/1000, 146/1000, 379/1000, 146/1000, 2808/1000, 2808/1000, 146/1000, 2808/1000, 146/1000, 2808/1000, 2808/1000, 379/1000, 379/1000, 146/1000]",37.402899980545044
