Price min value,Price for each machine,Time
1899/1000,"[105/1000, 283/1000, 105/1000, 105/1000, 105/1000, 105/1000, 105/1000, 105/1000, 105/1000, 105/1000, 283/1000, 105/1000, 283/1000]",196.06575894355774
1899/1000,"[105/1000, 283/1000, 283/1000, 105/1000, 283/1000, 105/1000, 105/1000, 105/1000, 105/1000, 105/1000, 105/1000, 105/1000, 105/1000]",1136.1282770633698
1899/1000,"[105/1000, 105/1000, 105/1000, 105/1000, 105/1000, 283/1000, 105/1000, 105/1000, 283/1000, 105/1000, 283/1000, 105/1000, 105/1000]",247.42623782157898
1899/1000,"[105/1000, 105/1000, 105/1000, 105/1000, 283/1000, 105/1000, 283/1000, 105/1000, 105/1000, 105/1000, 105/1000, 283/1000, 105/1000]",2402.891238927841
1899/1000,"[283/1000, 283/1000, 105/1000, 105/1000, 105/1000, 105/1000, 105/1000, 105/1000, 105/1000, 283/1000, 105/1000, 105/1000, 105/1000]",1508.5713031291962
