Price min value,Price for each machine,Time
54912/1000,"[0/1000, 0/1000, 9152/1000, 9152/1000, 9152/1000, 9152/1000, 0/1000, 9152/1000, 0/1000, 0/1000, 9152/1000]",9.858570098876953
54912/1000,"[0/1000, 9152/1000, 0/1000, 9152/1000, 9152/1000, 9152/1000, 0/1000, 9152/1000, 9152/1000, 0/1000, 0/1000]",9.41199016571045
54912/1000,"[0/1000, 0/1000, 9152/1000, 0/1000, 0/1000, 9152/1000, 9152/1000, 9152/1000, 9152/1000, 9152/1000, 0/1000]",4.740524768829346
54912/1000,"[0/1000, 9152/1000, 0/1000, 0/1000, 0/1000, 9152/1000, 9152/1000, 9152/1000, 9152/1000, 0/1000, 9152/1000]",11.746547937393188
54912/1000,"[9152/1000, 0/1000, 0/1000, 9152/1000, 9152/1000, 0/1000, 9152/1000, 9152/1000, 0/1000, 9152/1000, 0/1000]",6.327269792556763
