Price min value,Price for each machine,Time
1374/1000,"[105/1000, 105/1000, 105/1000, 105/1000, 283/1000, 283/1000, 105/1000, 283/1000]",28.45235824584961
1374/1000,"[105/1000, 105/1000, 283/1000, 283/1000, 283/1000, 105/1000, 105/1000, 105/1000]",30.041783094406128
1374/1000,"[105/1000, 105/1000, 283/1000, 283/1000, 283/1000, 105/1000, 105/1000, 105/1000]",30.01985502243042
1374/1000,"[105/1000, 105/1000, 105/1000, 105/1000, 283/1000, 105/1000, 283/1000, 283/1000]",37.07269096374512
1374/1000,"[105/1000, 283/1000, 105/1000, 105/1000, 105/1000, 105/1000, 283/1000, 283/1000]",27.37687397003174
