Price min value,Price for each machine,Time
2889/1000,"[283/1000, 283/1000, 0/1000, 1020/1000, 283/1000, 1020/1000]",10.39551568031311
2889/1000,"[283/1000, 283/1000, 1020/1000, 1020/1000, 0/1000, 283/1000]",9.90525221824646
2889/1000,"[0/1000, 283/1000, 1020/1000, 283/1000, 1020/1000, 283/1000]",9.876064777374268
2889/1000,"[0/1000, 283/1000, 1020/1000, 283/1000, 1020/1000, 283/1000]",9.883740901947021
2889/1000,"[283/1000, 1020/1000, 283/1000, 1020/1000, 0/1000, 283/1000]",9.925783157348633
