Price min value,Price for each machine,Time
16199/1000,"[379/1000, 2808/1000, 146/1000, 2808/1000, 146/1000, 146/1000, 146/1000, 146/1000, 379/1000, 2808/1000, 146/1000, 2808/1000, 146/1000, 379/1000, 2808/1000]",929.5123219490051
16199/1000,"[379/1000, 2808/1000, 146/1000, 2808/1000, 146/1000, 146/1000, 146/1000, 146/1000, 379/1000, 2808/1000, 146/1000, 2808/1000, 146/1000, 379/1000, 2808/1000]",915.8901360034943
16199/1000,"[379/1000, 146/1000, 146/1000, 146/1000, 146/1000, 2808/1000, 2808/1000, 2808/1000, 146/1000, 146/1000, 2808/1000, 2808/1000, 379/1000, 146/1000, 379/1000]",214.8658423423767
16199/1000,"[379/1000, 2808/1000, 146/1000, 2808/1000, 146/1000, 146/1000, 146/1000, 146/1000, 379/1000, 2808/1000, 146/1000, 2808/1000, 146/1000, 379/1000, 2808/1000]",909.7212290763855
16199/1000,"[2808/1000, 146/1000, 379/1000, 379/1000, 146/1000, 146/1000, 2808/1000, 379/1000, 146/1000, 2808/1000, 146/1000, 146/1000, 2808/1000, 146/1000, 2808/1000]",250.83267283439636
