Price min value,Price for each machine,Time
13245/1000,"[2808/1000, 146/1000, 146/1000, 379/1000, 146/1000, 2808/1000, 2808/1000, 146/1000, 146/1000, 146/1000, 2808/1000, 379/1000, 379/1000]",4.4044458866119385
13245/1000,"[379/1000, 146/1000, 379/1000, 379/1000, 2808/1000, 2808/1000, 146/1000, 146/1000, 2808/1000, 146/1000, 2808/1000, 146/1000, 146/1000]",6.447591781616211
13245/1000,"[146/1000, 379/1000, 146/1000, 379/1000, 379/1000, 2808/1000, 146/1000, 146/1000, 146/1000, 2808/1000, 146/1000, 2808/1000, 2808/1000]",7.718854188919067
13245/1000,"[2808/1000, 146/1000, 2808/1000, 2808/1000, 146/1000, 2808/1000, 146/1000, 379/1000, 379/1000, 379/1000, 146/1000, 146/1000, 146/1000]",4.826766014099121
13245/1000,"[379/1000, 2808/1000, 146/1000, 2808/1000, 379/1000, 146/1000, 2808/1000, 379/1000, 146/1000, 2808/1000, 146/1000, 146/1000, 146/1000]",3.0507781505584717
