Price min value,Price for each machine,Time
29256/1000,"[2808/1000, 2808/1000, 2808/1000, 1600/1000, 2808/1000, 2808/1000, 1600/1000, 1600/1000, 0/1000, 1600/1000, 1600/1000, 0/1000, 2808/1000, 2808/1000, 1600/1000]",13.457125186920166
29256/1000,"[1600/1000, 2808/1000, 2808/1000, 1600/1000, 0/1000, 1600/1000, 2808/1000, 2808/1000, 1600/1000, 1600/1000, 1600/1000, 0/1000, 2808/1000, 2808/1000, 2808/1000]",18.141409873962402
29256/1000,"[2808/1000, 2808/1000, 2808/1000, 1600/1000, 2808/1000, 2808/1000, 1600/1000, 1600/1000, 0/1000, 1600/1000, 1600/1000, 0/1000, 2808/1000, 2808/1000, 1600/1000]",14.068969964981079
29256/1000,"[1600/1000, 2808/1000, 2808/1000, 1600/1000, 0/1000, 1600/1000, 2808/1000, 2808/1000, 1600/1000, 1600/1000, 1600/1000, 0/1000, 2808/1000, 2808/1000, 2808/1000]",17.72132682800293
29256/1000,"[1600/1000, 1600/1000, 1600/1000, 2808/1000, 2808/1000, 0/1000, 0/1000, 1600/1000, 1600/1000, 1600/1000, 2808/1000, 2808/1000, 2808/1000, 2808/1000, 2808/1000]",16.160162210464478
