Price min value,Price for each machine,Time
26400/1000,"[4400/1000, 0/1000, 4400/1000, 4400/1000, 0/1000, 0/1000, 0/1000, 4400/1000, 4400/1000, 0/1000, 4400/1000]",5.169857978820801
26400/1000,"[0/1000, 0/1000, 0/1000, 4400/1000, 4400/1000, 4400/1000, 4400/1000, 4400/1000, 0/1000, 0/1000, 4400/1000]",8.506197929382324
26400/1000,"[4400/1000, 0/1000, 0/1000, 0/1000, 4400/1000, 4400/1000, 4400/1000, 4400/1000, 0/1000, 0/1000, 4400/1000]",9.013001203536987
26400/1000,"[0/1000, 0/1000, 0/1000, 4400/1000, 4400/1000, 4400/1000, 0/1000, 4400/1000, 4400/1000, 4400/1000, 0/1000]",7.2556397914886475
26400/1000,"[4400/1000, 0/1000, 4400/1000, 0/1000, 4400/1000, 0/1000, 4400/1000, 0/1000, 4400/1000, 4400/1000, 0/1000]",5.3413779735565186
