Price min value,Price for each machine,Time
44080/1000,"[1600/1000, 0/1000, 2808/1000, 0/1000, 2808/1000, 2808/1000, 2808/1000, 2808/1000, 1600/1000, 1600/1000, 1600/1000, 1600/1000, 1600/1000, 2808/1000, 2808/1000, 2808/1000, 2808/1000, 1600/1000, 1600/1000, 1600/1000, 2808/1000, 1600/1000]",41.593148708343506
44080/1000,"[1600/1000, 1600/1000, 0/1000, 2808/1000, 1600/1000, 1600/1000, 2808/1000, 1600/1000, 2808/1000, 2808/1000, 2808/1000, 1600/1000, 1600/1000, 2808/1000, 1600/1000, 0/1000, 2808/1000, 2808/1000, 2808/1000, 2808/1000, 1600/1000, 1600/1000]",27.9122052192688
44080/1000,"[0/1000, 2808/1000, 1600/1000, 2808/1000, 1600/1000, 1600/1000, 2808/1000, 1600/1000, 2808/1000, 2808/1000, 1600/1000, 1600/1000, 2808/1000, 2808/1000, 1600/1000, 1600/1000, 2808/1000, 2808/1000, 1600/1000, 2808/1000, 0/1000, 1600/1000]",64.04071688652039
44080/1000,"[1600/1000, 1600/1000, 1600/1000, 2808/1000, 2808/1000, 1600/1000, 0/1000, 2808/1000, 1600/1000, 1600/1000, 1600/1000, 0/1000, 2808/1000, 2808/1000, 2808/1000, 1600/1000, 1600/1000, 1600/1000, 2808/1000, 2808/1000, 2808/1000, 2808/1000]",42.04095220565796
44080/1000,"[2808/1000, 1600/1000, 1600/1000, 2808/1000, 1600/1000, 2808/1000, 1600/1000, 1600/1000, 0/1000, 2808/1000, 2808/1000, 1600/1000, 2808/1000, 2808/1000, 0/1000, 2808/1000, 1600/1000, 1600/1000, 1600/1000, 2808/1000, 2808/1000, 1600/1000]",47.7768120765686
