Price min value,Price for each machine,Time
25353/1000,"[146/1000, 2808/1000, 146/1000, 146/1000, 2808/1000, 2808/1000, 146/1000, 146/1000, 146/1000, 146/1000, 146/1000, 146/1000, 2808/1000, 146/1000, 379/1000, 146/1000, 2808/1000, 379/1000, 379/1000, 146/1000, 2808/1000, 2808/1000, 2808/1000]",271.8941271305084
25353/1000,"[146/1000, 146/1000, 2808/1000, 146/1000, 2808/1000, 146/1000, 146/1000, 146/1000, 2808/1000, 2808/1000, 146/1000, 146/1000, 379/1000, 146/1000, 146/1000, 2808/1000, 146/1000, 379/1000, 2808/1000, 379/1000, 2808/1000, 2808/1000, 146/1000]",114.11402082443237
25353/1000,"[146/1000, 379/1000, 146/1000, 2808/1000, 146/1000, 2808/1000, 2808/1000, 2808/1000, 146/1000, 146/1000, 146/1000, 2808/1000, 146/1000, 379/1000, 2808/1000, 146/1000, 146/1000, 146/1000, 146/1000, 379/1000, 146/1000, 2808/1000, 2808/1000]",275.98134779930115
25353/1000,"[146/1000, 146/1000, 2808/1000, 2808/1000, 146/1000, 146/1000, 146/1000, 146/1000, 146/1000, 379/1000, 2808/1000, 2808/1000, 379/1000, 146/1000, 2808/1000, 146/1000, 146/1000, 2808/1000, 146/1000, 2808/1000, 2808/1000, 379/1000, 146/1000]",198.74894499778748
25353/1000,"[146/1000, 146/1000, 2808/1000, 146/1000, 379/1000, 146/1000, 146/1000, 2808/1000, 146/1000, 146/1000, 2808/1000, 2808/1000, 2808/1000, 146/1000, 379/1000, 146/1000, 146/1000, 379/1000, 146/1000, 2808/1000, 2808/1000, 2808/1000, 146/1000]",218.40349817276
